2024-06-30 23:21:23,774 [INFO   ] No DB found at data_collection_analysis_tutorial.db, creating a new DB!
2024-06-30 23:46:14,688 [INFO   ] Received msg [tell]
2024-06-30 23:46:14,731 [INFO   ] Received msg [ask]
2024-06-30 23:46:14,838 [INFO   ] Received msg [tell]
2024-06-30 23:46:14,872 [INFO   ] Received msg [ask]
2024-06-30 23:46:14,963 [INFO   ] Received msg [tell]
2024-06-30 23:46:15,000 [INFO   ] Received msg [ask]
2024-06-30 23:46:15,141 [INFO   ] Received msg [tell]
2024-06-30 23:46:15,185 [INFO   ] Received msg [ask]
2024-06-30 23:46:15,316 [INFO   ] Received msg [tell]
2024-06-30 23:46:15,359 [INFO   ] Received msg [ask]
2024-06-30 23:46:15,459 [INFO   ] Received msg [tell]
2024-06-30 23:46:15,496 [INFO   ] Received msg [ask]
2024-06-30 23:46:15,628 [INFO   ] Received msg [tell]
2024-06-30 23:46:15,668 [INFO   ] Received msg [ask]
2024-06-30 23:46:15,869 [INFO   ] Received msg [tell]
2024-06-30 23:46:15,912 [INFO   ] Received msg [ask]
2024-06-30 23:46:16,032 [INFO   ] Received msg [tell]
2024-06-30 23:46:16,069 [INFO   ] Received msg [ask]
2024-06-30 23:46:16,199 [INFO   ] Received msg [tell]
2024-06-30 23:46:16,249 [INFO   ] Received msg [ask]
2024-06-30 23:46:16,346 [INFO   ] Received msg [tell]
2024-06-30 23:46:16,389 [INFO   ] Received msg [ask]
2024-06-30 23:46:16,472 [INFO   ] Received msg [tell]
2024-06-30 23:46:16,504 [INFO   ] Received msg [ask]
2024-06-30 23:46:16,578 [INFO   ] Received msg [tell]
2024-06-30 23:46:16,614 [INFO   ] Received msg [ask]
2024-06-30 23:46:16,684 [INFO   ] Received msg [tell]
2024-06-30 23:46:16,722 [INFO   ] Received msg [ask]
2024-06-30 23:46:16,846 [INFO   ] Received msg [tell]
2024-06-30 23:46:16,917 [INFO   ] Received msg [ask]
2024-06-30 23:46:17,002 [INFO   ] Received msg [tell]
2024-06-30 23:46:17,042 [INFO   ] Received msg [ask]
2024-06-30 23:46:17,157 [INFO   ] Received msg [tell]
2024-06-30 23:46:17,193 [INFO   ] Received msg [ask]
2024-06-30 23:46:17,301 [INFO   ] Received msg [tell]
2024-06-30 23:46:17,341 [INFO   ] Received msg [ask]
2024-06-30 23:46:17,473 [INFO   ] Received msg [tell]
2024-06-30 23:46:17,517 [INFO   ] Received msg [ask]
2024-06-30 23:46:17,609 [INFO   ] Received msg [tell]
2024-06-30 23:46:17,659 [INFO   ] Received msg [ask]
2024-06-30 23:46:17,757 [INFO   ] Received msg [tell]
2024-06-30 23:46:17,795 [INFO   ] Received msg [ask]
2024-06-30 23:46:17,914 [INFO   ] Received msg [tell]
2024-06-30 23:46:17,985 [INFO   ] Received msg [ask]
2024-06-30 23:46:18,102 [INFO   ] Received msg [tell]
2024-06-30 23:46:18,150 [INFO   ] Received msg [ask]
2024-06-30 23:46:18,263 [INFO   ] Received msg [tell]
2024-06-30 23:46:18,309 [INFO   ] Received msg [ask]
2024-06-30 23:46:18,387 [INFO   ] Received msg [tell]
2024-06-30 23:46:18,427 [INFO   ] Received msg [ask]
2024-06-30 23:46:18,493 [INFO   ] Received msg [tell]
2024-06-30 23:46:18,528 [INFO   ] Received msg [ask]
2024-06-30 23:46:18,603 [INFO   ] Received msg [tell]
2024-06-30 23:46:18,643 [INFO   ] Received msg [ask]
2024-06-30 23:46:18,742 [INFO   ] Received msg [tell]
2024-06-30 23:46:18,795 [INFO   ] Received msg [ask]
2024-06-30 23:46:18,945 [INFO   ] Received msg [tell]
2024-06-30 23:46:18,992 [INFO   ] Received msg [ask]
2024-06-30 23:46:19,117 [INFO   ] Received msg [tell]
2024-06-30 23:46:19,188 [INFO   ] Received msg [ask]
2024-06-30 23:46:19,295 [INFO   ] Received msg [tell]
2024-06-30 23:46:19,333 [INFO   ] Received msg [ask]
2024-06-30 23:46:19,427 [INFO   ] Received msg [tell]
2024-06-30 23:46:19,488 [INFO   ] Received msg [ask]
2024-06-30 23:46:19,544 [INFO   ] Received msg [tell]
2024-06-30 23:46:19,584 [INFO   ] Received msg [ask]
2024-06-30 23:46:19,728 [INFO   ] Received msg [tell]
2024-06-30 23:46:19,777 [INFO   ] Received msg [ask]
2024-06-30 23:46:19,899 [INFO   ] Received msg [tell]
2024-06-30 23:46:19,932 [INFO   ] Received msg [ask]
2024-06-30 23:46:20,015 [INFO   ] Received msg [tell]
2024-06-30 23:46:20,050 [INFO   ] Received msg [ask]
2024-06-30 23:46:20,113 [INFO   ] Received msg [tell]
2024-06-30 23:46:20,152 [INFO   ] Received msg [ask]
2024-06-30 23:46:20,218 [INFO   ] Received msg [tell]
2024-06-30 23:46:20,255 [INFO   ] Received msg [ask]
2024-06-30 23:46:20,319 [INFO   ] Received msg [tell]
2024-06-30 23:46:20,354 [INFO   ] Received msg [ask]
2024-06-30 23:46:20,435 [INFO   ] Received msg [tell]
2024-06-30 23:46:20,514 [INFO   ] Received msg [ask]
2024-06-30 23:46:20,634 [INFO   ] Received msg [tell]
2024-06-30 23:46:20,698 [INFO   ] Received msg [ask]
2024-06-30 23:46:20,814 [INFO   ] Received msg [tell]
2024-06-30 23:46:20,859 [INFO   ] Received msg [ask]
2024-06-30 23:46:20,950 [INFO   ] Received msg [tell]
2024-06-30 23:46:20,998 [INFO   ] Received msg [ask]
2024-06-30 23:46:21,127 [INFO   ] Received msg [tell]
2024-06-30 23:46:21,161 [INFO   ] Received msg [ask]
2024-06-30 23:46:21,329 [INFO   ] Received msg [tell]
2024-06-30 23:46:21,374 [INFO   ] Received msg [ask]
2024-06-30 23:46:21,574 [INFO   ] Received msg [tell]
2024-06-30 23:46:21,626 [INFO   ] Received msg [ask]
2024-06-30 23:46:21,740 [INFO   ] Received msg [tell]
2024-06-30 23:46:21,778 [INFO   ] Received msg [ask]
2024-06-30 23:46:21,862 [INFO   ] Received msg [tell]
2024-06-30 23:46:21,898 [INFO   ] Received msg [ask]
2024-06-30 23:46:21,973 [INFO   ] Received msg [tell]
2024-06-30 23:46:22,035 [INFO   ] Received msg [ask]
2024-06-30 23:46:22,086 [INFO   ] Received msg [tell]
2024-06-30 23:46:22,121 [INFO   ] Received msg [ask]
2024-06-30 23:46:22,186 [INFO   ] Received msg [tell]
2024-06-30 23:46:22,234 [INFO   ] Received msg [ask]
2024-06-30 23:46:22,360 [INFO   ] Received msg [tell]
2024-06-30 23:46:22,410 [INFO   ] Received msg [ask]
2024-06-30 23:46:22,528 [INFO   ] Received msg [tell]
2024-06-30 23:46:22,567 [INFO   ] Received msg [ask]
2024-06-30 23:46:22,680 [INFO   ] Received msg [tell]
2024-06-30 23:46:22,719 [INFO   ] Received msg [ask]
2024-06-30 23:46:22,857 [INFO   ] Received msg [tell]
2024-06-30 23:46:22,906 [INFO   ] Received msg [ask]
2024-06-30 23:46:22,994 [INFO   ] Received msg [tell]
2024-06-30 23:46:23,094 [INFO   ] Received msg [ask]
2024-06-30 23:46:23,216 [INFO   ] Received msg [tell]
2024-06-30 23:46:23,269 [INFO   ] Received msg [ask]
2024-06-30 23:46:23,393 [INFO   ] Received msg [tell]
2024-06-30 23:46:23,469 [INFO   ] Received msg [ask]
2024-06-30 23:46:23,546 [INFO   ] Received msg [tell]
2024-06-30 23:46:23,580 [INFO   ] Received msg [ask]
2024-06-30 23:46:23,660 [INFO   ] Received msg [tell]
2024-06-30 23:46:23,693 [INFO   ] Received msg [ask]
2024-06-30 23:46:23,894 [INFO   ] Received msg [tell]
2024-06-30 23:46:23,930 [INFO   ] Received msg [ask]
2024-06-30 23:46:23,999 [INFO   ] Received msg [tell]
2024-06-30 23:46:24,049 [INFO   ] Received msg [ask]
2024-06-30 23:46:24,181 [INFO   ] Received msg [tell]
2024-06-30 23:46:24,215 [INFO   ] Received msg [ask]
2024-06-30 23:46:24,308 [INFO   ] Received msg [tell]
2024-06-30 23:46:24,352 [INFO   ] Received msg [ask]
2024-06-30 23:46:24,496 [INFO   ] Received msg [tell]
2024-06-30 23:46:24,537 [INFO   ] Received msg [ask]
2024-06-30 23:46:24,643 [INFO   ] Received msg [tell]
2024-06-30 23:46:24,693 [INFO   ] Received msg [ask]
2024-06-30 23:46:24,806 [INFO   ] Received msg [tell]
2024-06-30 23:46:24,852 [INFO   ] Received msg [ask]
2024-06-30 23:46:25,011 [INFO   ] Received msg [tell]
2024-06-30 23:46:25,059 [INFO   ] Received msg [ask]
2024-06-30 23:46:25,163 [INFO   ] Received msg [tell]
2024-06-30 23:46:25,211 [INFO   ] Received msg [ask]
2024-06-30 23:46:25,301 [INFO   ] Received msg [tell]
2024-06-30 23:46:25,345 [INFO   ] Received msg [ask]
2024-06-30 23:46:25,467 [INFO   ] Received msg [tell]
2024-06-30 23:46:25,500 [INFO   ] Received msg [ask]
2024-06-30 23:46:25,581 [INFO   ] Received msg [tell]
2024-06-30 23:46:25,619 [INFO   ] Received msg [ask]
2024-06-30 23:46:25,710 [INFO   ] Received msg [tell]
2024-06-30 23:46:25,746 [INFO   ] Received msg [ask]
2024-06-30 23:46:25,810 [INFO   ] Received msg [tell]
2024-06-30 23:46:25,848 [INFO   ] Received msg [ask]
2024-06-30 23:46:25,952 [INFO   ] Received msg [tell]
2024-06-30 23:46:25,995 [INFO   ] Received msg [ask]
2024-06-30 23:46:26,139 [INFO   ] Received msg [tell]
2024-06-30 23:46:26,188 [INFO   ] Received msg [ask]
2024-06-30 23:46:26,321 [INFO   ] Received msg [tell]
2024-06-30 23:46:26,362 [INFO   ] Received msg [ask]
2024-06-30 23:46:26,455 [INFO   ] Received msg [tell]
2024-06-30 23:46:26,503 [INFO   ] Received msg [ask]
2024-06-30 23:46:26,645 [INFO   ] Received msg [tell]
2024-06-30 23:46:26,702 [INFO   ] Received msg [ask]
2024-06-30 23:46:26,793 [INFO   ] Received msg [tell]
2024-06-30 23:46:26,840 [INFO   ] Received msg [ask]
2024-06-30 23:46:26,919 [INFO   ] Received msg [tell]
2024-06-30 23:46:26,954 [INFO   ] Received msg [ask]
2024-06-30 23:46:27,098 [INFO   ] Received msg [tell]
2024-06-30 23:46:27,154 [INFO   ] Received msg [ask]
2024-06-30 23:46:27,260 [INFO   ] Received msg [tell]
2024-06-30 23:46:27,327 [INFO   ] Received msg [ask]
2024-06-30 23:46:27,388 [INFO   ] Received msg [tell]
2024-06-30 23:46:27,426 [INFO   ] Received msg [ask]
2024-06-30 23:46:27,554 [INFO   ] Received msg [tell]
2024-06-30 23:46:27,601 [INFO   ] Received msg [ask]
2024-06-30 23:46:27,750 [INFO   ] Received msg [tell]
2024-06-30 23:46:27,788 [INFO   ] Received msg [ask]
2024-06-30 23:46:27,842 [INFO   ] Received msg [tell]
2024-06-30 23:46:27,886 [INFO   ] Received msg [ask]
2024-06-30 23:46:28,001 [INFO   ] Received msg [tell]
2024-06-30 23:46:28,048 [INFO   ] Received msg [ask]
2024-06-30 23:46:28,158 [INFO   ] Received msg [tell]
2024-06-30 23:46:28,198 [INFO   ] Received msg [ask]
2024-06-30 23:46:28,322 [INFO   ] Received msg [tell]
2024-06-30 23:46:28,365 [INFO   ] Received msg [ask]
2024-06-30 23:46:28,492 [INFO   ] Received msg [tell]
2024-06-30 23:46:28,541 [INFO   ] Received msg [ask]
2024-06-30 23:46:28,603 [INFO   ] Received msg [tell]
2024-06-30 23:46:28,647 [INFO   ] Received msg [ask]
2024-06-30 23:46:28,764 [INFO   ] Received msg [tell]
2024-06-30 23:46:28,804 [INFO   ] Received msg [ask]
2024-06-30 23:46:28,965 [INFO   ] Received msg [tell]
2024-06-30 23:46:29,014 [INFO   ] Received msg [ask]
2024-06-30 23:46:29,091 [INFO   ] Received msg [tell]
2024-06-30 23:46:29,131 [INFO   ] Received msg [ask]
2024-06-30 23:46:29,235 [INFO   ] Received msg [tell]
2024-06-30 23:48:41,453 [INFO   ] No DB found at /Users/fangfang/Aguirre-Brainard Lab Dropbox/Fangfang Hong/META_analysis/customized_configs/Sim4dTask_sub1.db, creating a new DB!
2024-06-30 23:48:41,467 [INFO   ] Received msg [setup]
2024-06-30 23:48:41,480 [INFO   ] Received msg [ask]
2024-06-30 23:48:41,489 [INFO   ] Received msg [tell]
2024-06-30 23:48:41,533 [INFO   ] Received msg [ask]
2024-06-30 23:48:41,644 [INFO   ] Received msg [tell]
2024-06-30 23:48:41,661 [INFO   ] Received msg [ask]
2024-06-30 23:48:41,733 [INFO   ] Received msg [tell]
2024-06-30 23:48:41,755 [INFO   ] Received msg [ask]
2024-06-30 23:48:41,806 [INFO   ] Received msg [tell]
2024-06-30 23:48:41,824 [INFO   ] Received msg [ask]
2024-06-30 23:48:41,870 [INFO   ] Received msg [tell]
2024-06-30 23:48:41,894 [INFO   ] Received msg [ask]
2024-06-30 23:48:41,997 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,013 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,062 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,090 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,192 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,211 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,251 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,271 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,362 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,388 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,450 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,519 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,554 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,577 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,620 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,640 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,778 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,792 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,803 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,821 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,886 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,901 [INFO   ] Received msg [ask]
2024-06-30 23:48:42,978 [INFO   ] Received msg [tell]
2024-06-30 23:48:42,995 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,088 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,122 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,175 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,197 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,254 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,271 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,326 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,352 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,391 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,412 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,438 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,456 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,488 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,509 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,556 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,573 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,633 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,650 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,759 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,773 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,814 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,833 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,886 [INFO   ] Received msg [tell]
2024-06-30 23:48:43,974 [INFO   ] Received msg [ask]
2024-06-30 23:48:43,995 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,018 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,064 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,084 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,150 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,169 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,294 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,323 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,380 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,400 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,454 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,471 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,556 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,571 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,616 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,639 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,736 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,760 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,851 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,872 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,901 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,919 [INFO   ] Received msg [ask]
2024-06-30 23:48:44,968 [INFO   ] Received msg [tell]
2024-06-30 23:48:44,988 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,014 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,037 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,079 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,099 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,129 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,167 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,204 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,223 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,263 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,281 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,326 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,356 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,393 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,442 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,507 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,525 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,587 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,607 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,715 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,733 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,775 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,794 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,878 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,897 [INFO   ] Received msg [ask]
2024-06-30 23:48:45,933 [INFO   ] Received msg [tell]
2024-06-30 23:48:45,972 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,075 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,093 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,113 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,129 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,219 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,244 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,356 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,380 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,414 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,435 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,546 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,577 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,668 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,686 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,725 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,745 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,786 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,808 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,900 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,924 [INFO   ] Received msg [ask]
2024-06-30 23:48:46,962 [INFO   ] Received msg [tell]
2024-06-30 23:48:46,982 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,010 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,029 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,077 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,098 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,130 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,150 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,205 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,229 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,374 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,392 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,439 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,473 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,550 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,599 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,632 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,651 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,794 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,822 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,895 [INFO   ] Received msg [tell]
2024-06-30 23:48:47,910 [INFO   ] Received msg [ask]
2024-06-30 23:48:47,995 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,015 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,055 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,078 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,223 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,247 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,398 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,421 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,515 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,550 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,581 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,602 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,665 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,693 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,736 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,767 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,816 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,831 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,883 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,903 [INFO   ] Received msg [ask]
2024-06-30 23:48:48,930 [INFO   ] Received msg [tell]
2024-06-30 23:48:48,947 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,015 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,041 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,124 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,162 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,191 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,217 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,260 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,344 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,374 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,398 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,499 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,514 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,559 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,596 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,725 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,746 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,797 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,828 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,857 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,875 [INFO   ] Received msg [ask]
2024-06-30 23:48:49,960 [INFO   ] Received msg [tell]
2024-06-30 23:48:49,990 [INFO   ] Received msg [ask]
2024-06-30 23:48:50,159 [INFO   ] Received msg [tell]
2024-06-30 23:48:50,176 [INFO   ] Received msg [ask]
2024-06-30 23:48:50,231 [INFO   ] Received msg [tell]
2024-06-30 23:48:50,251 [INFO   ] Received msg [ask]
2024-06-30 23:48:50,362 [INFO   ] Received msg [tell]
2024-06-30 23:48:50,385 [INFO   ] Received msg [ask]
2024-06-30 23:48:50,433 [INFO   ] Received msg [tell]
2024-06-30 23:48:50,452 [INFO   ] Received msg [ask]
2024-06-30 23:48:50,521 [INFO   ] Received msg [tell]
